68.67,
70.04,
61.64,
71.73,
77.37,
76.49,
79.23,
80.02,
80.51,
76.6,
69.46,
71.34,
75.71,
76.84,
77.72,
80.87,
82.59,
82.58,
82.92,
84.91,
85.84,
84.79,
83.98,
87.25,
90.17,
92.29,
91.66,
93.25,
93.85,
93.93,
96,
98.31,
99.34,
98.62,
95.45,
99.88,
101.41,
99.17,
99.35,
100.82,
100.35,
98.41,
99.52,
95.54,
88.16,
89.05,
92.27,
95.01,
95.11,
98.33,
102.22,
105.93,
106.81,
106.53,
108.74,
108.37,
109.41,
107.15,
110.13,
111.05,
111.28,
113.01,
114.68,
114.23,
114.06,
109.98,
114.83,
118.03,
117.81,
116.71,
118.14,
119.44,
115.69,
116.26,
118.71,
122.57,
124.34,
126.16,
125.58,
125.24,
122.98,
124.63,
127.4,
128.76,
130.27,
130.93,
131.24,
129.65,
124.44,
121.13,
120.63,
120.41,
118.37,
118.84,
117.94,
118.07,
112.65,
108.91,
109.04,
112.5,
114.57,
111.8,
112.83,
109.72,
108.12,
105.33,
106.56,
105.35,
108.1,
107.38,
107.74,
105.35,
102.9,
103.69,
102.97,
104.29,
103.81,
104.4,
104.48,
105.92,
105.48,
106.4,
106.17,
106.31,
107.65,
109.64,
111.35,
110.49,
108.91,
108.82,
112.35,
113.44,
113.59,
114.42,
111.15,
107.09,
104.95,
102.63,
106.47,
107.65,
108.12,
109.99,
109.97,
110.54,
110.34,
109.51,
107.49,
107.61,
107.89,
107.64,
107.71,
105.99,
106.08,
107.34,
106.28,
107.3,
106.34,
107.2,
106.44,
108.15,
108.36,
109.24,
110.21,
113.73,
110.01,
96.11,
96.05,
94.51,
91.28,
87.62,
87.82,
95.22,
95.01,
93.08,
93.03,
95.08,
92.11,
92.96,
93.92,
96.55,
97.71,
97.91,
100.93,
102.99,
99.47,
100.12,
98.63,
98.74,
98.38,
100.43,
102.25,
102.44,
104.25,
104.28,
103.87,
105.19,
104.49,
103.09,
104.44,
99.56,
94.33,
92.6,
92.04,
92.84,
95.5,
99.38,
99.37,
96.47,
92.83,
91.99,
96.46,
97.29,
98.55,
99.18,
99.05,
100.66,
102.07,
101.97,
104.88,
107.42,
106.29,
100.87,
102.61,
101.26,
100.19,
100.87,
101.72,
102.84,
102.16,
101.63,
101.97,
102.37,
102.71,
102.32,
102.73,
102.12,
102.42,
101.82,
102.69,
97.79,
97.77,
96.55,
95.23,
95.06,
