mu,xi,sigma,q005,q095
95.498,-0.57179,9.2913,93.798,96.862
95.498,-0.56392,9.3004,93.756,96.827
95.498,-0.55605,9.3096,93.713,96.792
95.498,-0.54818,9.3187,93.669,96.757
95.498,-0.54031,9.3278,93.624,96.722
95.498,-0.53243,9.3368,93.578,96.687
95.498,-0.52456,9.3459,93.53,96.652
95.498,-0.51669,9.3549,93.482,96.617
95.498,-0.50882,9.3639,93.432,96.582
95.498,-0.50095,9.3729,93.381,96.547
95.498,-0.49308,9.3818,93.329,96.512
95.498,-0.48521,9.3908,93.276,96.477
95.498,-0.47734,9.3997,93.221,96.442
95.498,-0.46947,9.4086,93.165,96.407
95.498,-0.4616,9.4174,93.108,96.372
95.498,-0.45373,9.4263,93.049,96.338
95.498,-0.44586,9.4351,92.988,96.303
95.498,-0.43798,9.4439,92.927,96.269
95.498,-0.43011,9.4526,92.863,96.235
95.498,-0.42224,9.4614,92.799,96.202
95.498,-0.41437,9.4701,92.732,96.169
95.498,-0.4065,9.4788,92.664,96.136
95.498,-0.39863,9.4875,92.594,96.103
95.498,-0.39076,9.4961,92.523,96.071
95.498,-0.38289,9.5048,92.45,96.039
95.498,-0.37502,9.5134,92.375,96.008
95.498,-0.36715,9.522,92.298,95.978
95.498,-0.35928,9.5305,92.22,95.948
95.498,-0.3514,9.5391,92.139,95.918
95.498,-0.34353,9.5476,92.057,95.89
95.498,-0.33566,9.5561,91.972,95.862
95.498,-0.32779,9.5645,91.885,95.835
95.498,-0.31992,9.573,91.797,95.808
95.498,-0.31205,9.5814,91.706,95.783
95.498,-0.30418,9.5898,91.613,95.758
95.498,-0.29631,9.5982,91.517,95.735
95.498,-0.28844,9.6065,91.42,95.712
95.498,-0.28057,9.6149,91.319,95.691
95.498,-0.2727,9.6232,91.217,95.67
95.498,-0.26482,9.6315,91.112,95.651
95.498,-0.25695,9.6397,91.004,95.633
95.498,-0.24908,9.648,90.894,95.616
95.498,-0.24121,9.6562,90.781,95.6
95.498,-0.23334,9.6644,90.666,95.586
95.498,-0.22547,9.6725,90.547,95.573
95.498,-0.2176,9.6807,90.426,95.561
95.498,-0.20973,9.6888,90.301,95.55
95.498,-0.20186,9.6969,90.174,95.54
95.498,-0.19399,9.705,90.043,95.532
95.498,-0.18612,9.713,89.91,95.525
95.498,-0.17824,9.7211,89.773,95.519
95.498,-0.17037,9.7291,89.633,95.514
95.498,-0.1625,9.7371,89.489,95.509
95.498,-0.15463,9.745,89.342,95.506
95.498,-0.14676,9.753,89.191,95.504
95.498,-0.13889,9.7609,89.037,95.502
95.498,-0.13102,9.7688,88.878,95.5
95.498,-0.12315,9.7766,88.716,95.499
95.498,-0.11528,9.7845,88.55,95.499
95.498,-0.10741,9.7923,88.38,95.498
95.498,-0.099535,9.8001,88.206,95.498
95.498,-0.091665,9.8079,88.028,95.498
95.498,-0.083794,9.8156,87.845,95.498
95.498,-0.075923,9.8234,87.658,95.498
95.498,-0.068052,9.8311,87.466,95.498
95.498,-0.060181,9.8388,87.27,95.498
95.619,-0.8394,9.0201,94.873,98.06
95.619,-0.83153,9.0298,94.855,98.032
95.619,-0.82366,9.0396,94.836,98.005
95.619,-0.81579,9.0494,94.817,97.977
95.619,-0.80792,9.0591,94.797,97.949
95.619,-0.80005,9.0688,94.776,97.92
95.619,-0.79217,9.0785,94.756,97.891
95.619,-0.7843,9.0881,94.734,97.862
95.619,-0.77643,9.0977,94.712,97.833
95.619,-0.76856,9.1074,94.69,97.804
95.619,-0.76069,9.1169,94.667,97.774
95.619,-0.75282,9.1265,94.643,97.744
95.619,-0.74495,9.136,94.619,97.714
95.619,-0.73708,9.1456,94.595,97.683
95.619,-0.72921,9.1551,94.569,97.652
95.619,-0.72134,9.1645,94.543,97.621
95.619,-0.71347,9.174,94.517,97.59
95.619,-0.70559,9.1834,94.49,97.558
95.619,-0.69772,9.1928,94.462,97.527
95.619,-0.68985,9.2022,94.433,97.495
95.619,-0.68198,9.2115,94.404,97.462
95.619,-0.67411,9.2209,94.374,97.43
95.619,-0.66624,9.2302,94.343,97.397
95.619,-0.65837,9.2394,94.312,97.364
95.619,-0.6505,9.2487,94.279,97.331
95.619,-0.64263,9.2579,94.246,97.298
95.619,-0.63476,9.2672,94.212,97.264
95.619,-0.62689,9.2764,94.178,97.231
95.619,-0.61901,9.2855,94.142,97.197
95.619,-0.61114,9.2947,94.106,97.163
95.619,-0.60327,9.3038,94.068,97.128
95.619,-0.5954,9.3129,94.03,97.094
95.619,-0.58753,9.322,93.991,97.059
95.619,-0.57966,9.331,93.951,97.025
95.619,-0.57179,9.3401,93.91,96.99
95.619,-0.56392,9.3491,93.868,96.955
95.619,-0.55605,9.3581,93.824,96.92
95.619,-0.54818,9.367,93.78,96.885
95.619,-0.54031,9.376,93.735,96.849
95.619,-0.53243,9.3849,93.689,96.814
95.619,-0.52456,9.3938,93.641,96.779
95.619,-0.51669,9.4026,93.592,96.744
95.619,-0.50882,9.4115,93.543,96.708
95.619,-0.50095,9.4203,93.491,96.673
95.619,-0.49308,9.4291,93.439,96.638
95.619,-0.48521,9.4379,93.385,96.602
95.619,-0.47734,9.4466,93.33,96.567
95.619,-0.46947,9.4554,93.274,96.532
95.619,-0.4616,9.4641,93.216,96.497
95.619,-0.45373,9.4728,93.157,96.463
95.619,-0.44586,9.4814,93.097,96.428
95.619,-0.43798,9.4901,93.035,96.394
95.619,-0.43011,9.4987,92.971,96.36
95.619,-0.42224,9.5073,92.906,96.326
95.619,-0.41437,9.5158,92.84,96.293
95.619,-0.4065,9.5244,92.771,96.26
95.619,-0.39863,9.5329,92.701,96.227
95.619,-0.39076,9.5414,92.63,96.195
95.619,-0.38289,9.5499,92.556,96.163
95.619,-0.37502,9.5584,92.481,96.131
95.619,-0.36715,9.5668,92.404,96.101
95.619,-0.35928,9.5752,92.325,96.071
95.619,-0.3514,9.5836,92.244,96.041
95.619,-0.34353,9.5919,92.161,96.012
95.619,-0.33566,9.6003,92.076,95.984
95.619,-0.32779,9.6086,91.99,95.957
95.619,-0.31992,9.6169,91.9,95.93
95.619,-0.31205,9.6252,91.809,95.905
95.619,-0.30418,9.6334,91.716,95.88
95.619,-0.29631,9.6416,91.62,95.857
95.619,-0.28844,9.6498,91.522,95.834
95.619,-0.28057,9.658,91.422,95.812
95.619,-0.2727,9.6662,91.319,95.792
95.619,-0.26482,9.6743,91.213,95.772
95.619,-0.25695,9.6824,91.105,95.754
95.619,-0.24908,9.6905,90.995,95.737
95.619,-0.24121,9.6986,90.881,95.722
95.619,-0.23334,9.7066,90.765,95.707
95.619,-0.22547,9.7146,90.646,95.694
95.619,-0.2176,9.7226,90.524,95.682
95.619,-0.20973,9.7306,90.4,95.671
95.619,-0.20186,9.7385,90.272,95.661
95.619,-0.19399,9.7465,90.141,95.653
95.619,-0.18612,9.7544,90.007,95.646
95.619,-0.17824,9.7622,89.869,95.64
95.619,-0.17037,9.7701,89.729,95.634
95.619,-0.1625,9.7779,89.585,95.63
95.619,-0.15463,9.7857,89.437,95.627
95.619,-0.14676,9.7935,89.286,95.624
95.619,-0.13889,9.8013,89.131,95.623
95.619,-0.13102,9.809,88.972,95.621
95.619,-0.12315,9.8167,88.809,95.62
95.619,-0.11528,9.8244,88.643,95.62
95.619,-0.10741,9.8321,88.472,95.619
95.619,-0.099535,9.8398,88.298,95.619
95.619,-0.091665,9.8474,88.119,95.619
95.619,-0.083794,9.855,87.935,95.619
95.619,-0.075923,9.8626,87.747,95.619
95.619,-0.068052,9.8701,87.555,95.619
95.619,-0.060181,9.8776,87.358,95.619
95.74,-0.8394,9.0739,94.99,98.195
95.74,-0.83153,9.0835,94.971,98.167
95.74,-0.82366,9.0931,94.952,98.14
95.74,-0.81579,9.1027,94.933,98.111
95.74,-0.80792,9.1123,94.913,98.083
95.74,-0.80005,9.1218,94.892,98.054
95.74,-0.79217,9.1313,94.871,98.025
95.74,-0.7843,9.1409,94.85,97.996
95.74,-0.77643,9.1503,94.828,97.967
95.74,-0.76856,9.1598,94.805,97.937
95.74,-0.76069,9.1692,94.782,97.907
95.74,-0.75282,9.1786,94.759,97.877
95.74,-0.74495,9.188,94.734,97.846
95.74,-0.73708,9.1974,94.71,97.816
95.74,-0.72921,9.2067,94.684,97.784
95.74,-0.72134,9.216,94.658,97.753
95.74,-0.71347,9.2253,94.631,97.722
95.74,-0.70559,9.2346,94.604,97.69
95.74,-0.69772,9.2438,94.576,97.658
95.74,-0.68985,9.2531,94.547,97.626
95.74,-0.68198,9.2623,94.518,97.593
95.74,-0.67411,9.2715,94.488,97.561
95.74,-0.66624,9.2806,94.457,97.528
95.74,-0.65837,9.2897,94.425,97.495
95.74,-0.6505,9.2988,94.393,97.461
95.74,-0.64263,9.3079,94.36,97.428
95.74,-0.63476,9.317,94.326,97.394
95.74,-0.62689,9.326,94.291,97.36
95.74,-0.61901,9.3351,94.255,97.326
95.74,-0.61114,9.344,94.218,97.292
95.74,-0.60327,9.353,94.181,97.257
95.74,-0.5954,9.362,94.143,97.222
95.74,-0.58753,9.3709,94.103,97.188
95.74,-0.57966,9.3798,94.063,97.153
95.74,-0.57179,9.3887,94.022,97.118
95.74,-0.56392,9.3975,93.979,97.083
95.74,-0.55605,9.4064,93.936,97.047
95.74,-0.54818,9.4152,93.892,97.012
95.74,-0.54031,9.424,93.846,96.977
95.74,-0.53243,9.4327,93.8,96.941
95.74,-0.52456,9.4415,93.752,96.906
95.74,-0.51669,9.4502,93.703,96.87
95.74,-0.50882,9.4589,93.653,96.835
95.74,-0.50095,9.4675,93.602,96.799
95.74,-0.49308,9.4762,93.549,96.764
95.74,-0.48521,9.4848,93.495,96.728
95.74,-0.47734,9.4934,93.44,96.693
95.74,-0.46947,9.502,93.383,96.658
95.74,-0.4616,9.5106,93.325,96.623
95.74,-0.45373,9.5191,93.266,96.588
95.74,-0.44586,9.5276,93.205,96.553
95.74,-0.43798,9.5361,93.143,96.518
95.74,-0.43011,9.5446,93.079,96.484
95.74,-0.42224,9.553,93.014,96.45
95.74,-0.41437,9.5614,92.947,96.417
95.74,-0.4065,9.5698,92.879,96.383
95.74,-0.39863,9.5782,92.808,96.351
95.74,-0.39076,9.5865,92.736,96.318
95.74,-0.38289,9.5948,92.663,96.286
95.74,-0.37502,9.6032,92.587,96.255
95.74,-0.36715,9.6114,92.51,96.224
95.74,-0.35928,9.6197,92.431,96.193
95.74,-0.3514,9.6279,92.349,96.164
95.74,-0.34353,9.6361,92.266,96.135
95.74,-0.33566,9.6443,92.181,96.107
95.74,-0.32779,9.6525,92.094,96.079
95.74,-0.31992,9.6606,92.004,96.053
95.74,-0.31205,9.6687,91.913,96.027
95.74,-0.30418,9.6768,91.819,96.002
95.74,-0.29631,9.6849,91.723,95.978
95.74,-0.28844,9.693,91.625,95.956
95.74,-0.28057,9.701,91.524,95.934
95.74,-0.2727,9.709,91.42,95.913
95.74,-0.26482,9.717,91.315,95.894
95.74,-0.25695,9.7249,91.206,95.876
95.74,-0.24908,9.7329,91.095,95.859
95.74,-0.24121,9.7408,90.981,95.843
95.74,-0.23334,9.7487,90.865,95.828
95.74,-0.22547,9.7565,90.746,95.815
95.74,-0.2176,9.7644,90.623,95.803
95.74,-0.20973,9.7722,90.498,95.792
95.74,-0.20186,9.78,90.37,95.782
95.74,-0.19399,9.7877,90.239,95.774
95.74,-0.18612,9.7955,90.104,95.767
95.74,-0.17824,9.8032,89.966,95.76
95.74,-0.17037,9.8109,89.825,95.755
95.74,-0.1625,9.8186,89.68,95.751
95.74,-0.15463,9.8263,89.532,95.748
95.74,-0.14676,9.8339,89.38,95.745
95.74,-0.13889,9.8415,89.225,95.743
95.74,-0.13102,9.8491,89.066,95.742
95.74,-0.12315,9.8567,88.903,95.741
95.74,-0.11528,9.8642,88.735,95.74
95.74,-0.10741,9.8717,88.564,95.74
95.74,-0.099535,9.8792,88.389,95.74
95.74,-0.091665,9.8867,88.209,95.74
95.74,-0.083794,9.8941,88.026,95.74
95.74,-0.075923,9.9016,87.837,95.74
95.74,-0.068052,9.909,87.644,95.74
95.74,-0.060181,9.9163,87.446,95.74
95.86,-0.8394,9.1275,95.106,98.33
95.86,-0.83153,9.137,95.087,98.303
95.86,-0.82366,9.1464,95.068,98.274
95.86,-0.81579,9.1559,95.049,98.246
95.86,-0.80792,9.1653,95.029,98.217
95.86,-0.80005,9.1747,95.008,98.189
95.86,-0.79217,9.1841,94.987,98.159
95.86,-0.7843,9.1934,94.966,98.13
95.86,-0.77643,9.2027,94.944,98.1
95.86,-0.76856,9.212,94.921,98.07
95.86,-0.76069,9.2213,94.898,98.04
95.86,-0.75282,9.2306,94.874,98.01
95.86,-0.74495,9.2398,94.85,97.979
95.86,-0.73708,9.249,94.825,97.948
95.86,-0.72921,9.2582,94.799,97.917
95.86,-0.72134,9.2674,94.773,97.885
95.86,-0.71347,9.2765,94.746,97.854
95.86,-0.70559,9.2856,94.719,97.822
95.86,-0.69772,9.2947,94.69,97.789
95.86,-0.68985,9.3038,94.662,97.757
95.86,-0.68198,9.3128,94.632,97.724
95.86,-0.67411,9.3219,94.602,97.691
95.86,-0.66624,9.3309,94.571,97.658
95.86,-0.65837,9.3398,94.539,97.625
95.86,-0.6505,9.3488,94.506,97.591
95.86,-0.64263,9.3577,94.473,97.557
95.86,-0.63476,9.3667,94.439,97.524
95.86,-0.62689,9.3755,94.404,97.489
95.86,-0.61901,9.3844,94.368,97.455
95.86,-0.61114,9.3932,94.331,97.42
95.86,-0.60327,9.4021,94.294,97.386
95.86,-0.5954,9.4109,94.255,97.351
95.86,-0.58753,9.4196,94.216,97.316
95.86,-0.57966,9.4284,94.175,97.281
95.86,-0.57179,9.4371,94.134,97.246
95.86,-0.56392,9.4458,94.091,97.21
95.86,-0.55605,9.4545,94.048,97.175
95.86,-0.54818,9.4631,94.003,97.139
95.86,-0.54031,9.4718,93.957,97.104
95.86,-0.53243,9.4804,93.911,97.068
95.86,-0.52456,9.489,93.863,97.032
95.86,-0.51669,9.4975,93.814,96.997
95.86,-0.50882,9.5061,93.763,96.961
95.86,-0.50095,9.5146,93.712,96.925
95.86,-0.49308,9.5231,93.659,96.889
95.86,-0.48521,9.5316,93.605,96.854
95.86,-0.47734,9.54,93.549,96.818
95.86,-0.46947,9.5484,93.493,96.783
95.86,-0.4616,9.5569,93.435,96.748
95.86,-0.45373,9.5652,93.375,96.713
95.86,-0.44586,9.5736,93.314,96.678
95.86,-0.43798,9.5819,93.251,96.643
95.86,-0.43011,9.5902,93.187,96.609
95.86,-0.42224,9.5985,93.122,96.574
95.86,-0.41437,9.6068,93.055,96.541
95.86,-0.4065,9.615,92.986,96.507
95.86,-0.39863,9.6233,92.915,96.474
95.86,-0.39076,9.6314,92.843,96.442
95.86,-0.38289,9.6396,92.769,96.409
95.86,-0.37502,9.6478,92.693,96.378
95.86,-0.36715,9.6559,92.616,96.347
95.86,-0.35928,9.664,92.536,96.316
95.86,-0.3514,9.6721,92.455,96.287
95.86,-0.34353,9.6801,92.371,96.258
95.86,-0.33566,9.6882,92.286,96.229
95.86,-0.32779,9.6962,92.198,96.202
95.86,-0.31992,9.7042,92.108,96.175
95.86,-0.31205,9.7121,92.016,96.149
95.86,-0.30418,9.7201,91.922,96.124
95.86,-0.29631,9.728,91.826,96.1
95.86,-0.28844,9.7359,91.727,96.077
95.86,-0.28057,9.7438,91.626,96.056
95.86,-0.2727,9.7516,91.522,96.035
95.86,-0.26482,9.7594,91.416,96.015
95.86,-0.25695,9.7672,91.307,95.997
95.86,-0.24908,9.775,91.196,95.98
95.86,-0.24121,9.7828,91.082,95.964
95.86,-0.23334,9.7905,90.965,95.949
95.86,-0.22547,9.7982,90.845,95.936
95.86,-0.2176,9.8059,90.722,95.924
95.86,-0.20973,9.8136,90.597,95.913
95.86,-0.20186,9.8212,90.468,95.903
95.86,-0.19399,9.8289,90.336,95.895
95.86,-0.18612,9.8364,90.201,95.888
95.86,-0.17824,9.844,90.063,95.881
95.86,-0.17037,9.8516,89.921,95.876
95.86,-0.1625,9.8591,89.776,95.872
95.86,-0.15463,9.8666,89.627,95.869
95.86,-0.14676,9.8741,89.475,95.866
95.86,-0.13889,9.8815,89.319,95.864
95.86,-0.13102,9.889,89.159,95.863
95.86,-0.12315,9.8964,88.996,95.862
95.86,-0.11528,9.9038,88.828,95.861
95.86,-0.10741,9.9111,88.656,95.861
95.86,-0.099535,9.9185,88.481,95.861
95.86,-0.091665,9.9258,88.3,95.861
95.86,-0.083794,9.9331,88.116,95.861
95.86,-0.075923,9.9404,87.927,95.861
95.86,-0.068052,9.9476,87.733,95.86
95.86,-0.060181,9.9549,87.535,95.86
95.981,-0.8394,9.1809,95.223,98.466
95.981,-0.83153,9.1903,95.204,98.438
95.981,-0.82366,9.1996,95.185,98.409
95.981,-0.81579,9.2089,95.165,98.381
95.981,-0.80792,9.2181,95.145,98.352
95.981,-0.80005,9.2274,95.124,98.323
95.981,-0.79217,9.2366,95.103,98.293
95.981,-0.7843,9.2458,95.081,98.264
95.981,-0.77643,9.2549,95.059,98.234
95.981,-0.76856,9.2641,95.036,98.204
95.981,-0.76069,9.2732,95.013,98.173
95.981,-0.75282,9.2823,94.989,98.143
95.981,-0.74495,9.2914,94.965,98.112
95.981,-0.73708,9.3005,94.94,98.08
95.981,-0.72921,9.3095,94.914,98.049
95.981,-0.72134,9.3185,94.888,98.017
95.981,-0.71347,9.3275,94.861,97.985
95.981,-0.70559,9.3365,94.833,97.953
95.981,-0.69772,9.3454,94.805,97.921
95.981,-0.68985,9.3543,94.776,97.888
95.981,-0.68198,9.3632,94.746,97.855
95.981,-0.67411,9.3721,94.716,97.822
95.981,-0.66624,9.381,94.685,97.789
95.981,-0.65837,9.3898,94.653,97.755
95.981,-0.6505,9.3986,94.62,97.721
95.981,-0.64263,9.4074,94.586,97.687
95.981,-0.63476,9.4161,94.552,97.653
95.981,-0.62689,9.4249,94.517,97.619
95.981,-0.61901,9.4336,94.481,97.584
95.981,-0.61114,9.4423,94.444,97.549
95.981,-0.60327,9.4509,94.406,97.515
95.981,-0.5954,9.4596,94.368,97.479
95.981,-0.58753,9.4682,94.328,97.444
95.981,-0.57966,9.4768,94.287,97.409
95.981,-0.57179,9.4854,94.246,97.373
95.981,-0.56392,9.4939,94.203,97.338
95.981,-0.55605,9.5024,94.159,97.302
95.981,-0.54818,9.5109,94.114,97.267
95.981,-0.54031,9.5194,94.069,97.231
95.981,-0.53243,9.5279,94.022,97.195
95.981,-0.52456,9.5363,93.973,97.159
95.981,-0.51669,9.5447,93.924,97.123
95.981,-0.50882,9.5531,93.874,97.087
95.981,-0.50095,9.5615,93.822,97.051
95.981,-0.49308,9.5698,93.769,97.015
95.981,-0.48521,9.5781,93.715,96.98
95.981,-0.47734,9.5864,93.659,96.944
95.981,-0.46947,9.5947,93.602,96.908
95.981,-0.4616,9.603,93.544,96.873
95.981,-0.45373,9.6112,93.484,96.838
95.981,-0.44586,9.6194,93.423,96.802
95.981,-0.43798,9.6276,93.36,96.768
95.981,-0.43011,9.6357,93.296,96.733
95.981,-0.42224,9.6439,93.23,96.699
95.981,-0.41437,9.652,93.162,96.665
95.981,-0.4065,9.6601,93.093,96.631
95.981,-0.39863,9.6681,93.022,96.598
95.981,-0.39076,9.6762,92.95,96.565
95.981,-0.38289,9.6842,92.876,96.533
95.981,-0.37502,9.6922,92.799,96.501
95.981,-0.36715,9.7002,92.722,96.47
95.981,-0.35928,9.7081,92.642,96.439
95.981,-0.3514,9.7161,92.56,96.409
95.981,-0.34353,9.724,92.476,96.38
95.981,-0.33566,9.7318,92.39,96.352
95.981,-0.32779,9.7397,92.302,96.324
95.981,-0.31992,9.7475,92.212,96.297
95.981,-0.31205,9.7554,92.12,96.271
95.981,-0.30418,9.7631,92.026,96.246
95.981,-0.29631,9.7709,91.929,96.222
95.981,-0.28844,9.7787,91.83,96.199
95.981,-0.28057,9.7864,91.728,96.177
95.981,-0.2727,9.7941,91.624,96.157
95.981,-0.26482,9.8017,91.518,96.137
95.981,-0.25695,9.8094,91.408,96.118
95.981,-0.24908,9.817,91.297,96.101
95.981,-0.24121,9.8246,91.182,96.085
95.981,-0.23334,9.8322,91.065,96.071
95.981,-0.22547,9.8398,90.945,96.057
95.981,-0.2176,9.8473,90.822,96.045
95.981,-0.20973,9.8548,90.695,96.034
95.981,-0.20186,9.8623,90.566,96.024
95.981,-0.19399,9.8698,90.434,96.016
95.981,-0.18612,9.8772,90.299,96.008
95.981,-0.17824,9.8846,90.16,96.002
95.981,-0.17037,9.892,90.018,95.997
95.981,-0.1625,9.8994,89.872,95.993
95.981,-0.15463,9.9068,89.723,95.99
95.981,-0.14676,9.9141,89.57,95.987
95.981,-0.13889,9.9214,89.414,95.985
95.981,-0.13102,9.9287,89.253,95.984
95.981,-0.12315,9.9359,89.089,95.983
95.981,-0.11528,9.9432,88.921,95.982
95.981,-0.10741,9.9504,88.749,95.982
95.981,-0.099535,9.9576,88.572,95.981
95.981,-0.091665,9.9647,88.392,95.981
95.981,-0.083794,9.9719,88.207,95.981
95.981,-0.075923,9.979,88.017,95.981
95.981,-0.068052,9.9861,87.823,95.981
95.981,-0.060181,9.9932,87.624,95.981
96.102,-0.8394,9.2342,95.339,98.601
96.102,-0.83153,9.2434,95.32,98.573
96.102,-0.82366,9.2525,95.301,98.544
96.102,-0.81579,9.2617,95.281,98.515
96.102,-0.80792,9.2708,95.261,98.486
96.102,-0.80005,9.2799,95.24,98.457
96.102,-0.79217,9.2889,95.219,98.427
96.102,-0.7843,9.298,95.197,98.397
96.102,-0.77643,9.307,95.175,98.367
96.102,-0.76856,9.316,95.152,98.337
96.102,-0.76069,9.325,95.128,98.306
96.102,-0.75282,9.3339,95.104,98.275
96.102,-0.74495,9.3428,95.08,98.244
96.102,-0.73708,9.3517,95.055,98.213
96.102,-0.72921,9.3606,95.029,98.181
96.102,-0.72134,9.3695,95.003,98.149
96.102,-0.71347,9.3783,94.975,98.117
96.102,-0.70559,9.3871,94.948,98.085
96.102,-0.69772,9.3959,94.919,98.052
96.102,-0.68985,9.4047,94.89,98.019
96.102,-0.68198,9.4134,94.86,97.986
96.102,-0.67411,9.4222,94.83,97.953
96.102,-0.66624,9.4309,94.799,97.919
96.102,-0.65837,9.4395,94.766,97.885
96.102,-0.6505,9.4482,94.734,97.851
96.102,-0.64263,9.4568,94.7,97.817
96.102,-0.63476,9.4654,94.665,97.783
96.102,-0.62689,9.474,94.63,97.748
96.102,-0.61901,9.4826,94.594,97.713
96.102,-0.61114,9.4911,94.557,97.678
96.102,-0.60327,9.4996,94.519,97.643
96.102,-0.5954,9.5081,94.48,97.608
96.102,-0.58753,9.5166,94.44,97.573
96.102,-0.57966,9.525,94.399,97.537
96.102,-0.57179,9.5334,94.358,97.501
96.102,-0.56392,9.5418,94.315,97.466
96.102,-0.55605,9.5502,94.271,97.43
96.102,-0.54818,9.5586,94.226,97.394
96.102,-0.54031,9.5669,94.18,97.358
96.102,-0.53243,9.5752,94.133,97.322
96.102,-0.52456,9.5835,94.084,97.286
96.102,-0.51669,9.5917,94.035,97.249
96.102,-0.50882,9.6,93.984,97.213
96.102,-0.50095,9.6082,93.932,97.177
96.102,-0.49308,9.6164,93.879,97.141
96.102,-0.48521,9.6245,93.824,97.105
96.102,-0.47734,9.6327,93.769,97.069
96.102,-0.46947,9.6408,93.711,97.033
96.102,-0.4616,9.6489,93.653,96.998
96.102,-0.45373,9.657,93.593,96.962
96.102,-0.44586,9.665,93.531,96.927
96.102,-0.43798,9.6731,93.468,96.892
96.102,-0.43011,9.6811,93.404,96.857
96.102,-0.42224,9.689,93.338,96.823
96.102,-0.41437,9.697,93.27,96.789
96.102,-0.4065,9.7049,93.201,96.755
96.102,-0.39863,9.7129,93.129,96.722
96.102,-0.39076,9.7207,93.057,96.689
96.102,-0.38289,9.7286,92.982,96.656
96.102,-0.37502,9.7365,92.906,96.624
96.102,-0.36715,9.7443,92.828,96.593
96.102,-0.35928,9.7521,92.747,96.562
96.102,-0.3514,9.7599,92.665,96.532
96.102,-0.34353,9.7676,92.581,96.503
96.102,-0.33566,9.7753,92.495,96.474
96.102,-0.32779,9.783,92.407,96.446
96.102,-0.31992,9.7907,92.316,96.419
96.102,-0.31205,9.7984,92.224,96.393
96.102,-0.30418,9.806,92.129,96.368
96.102,-0.29631,9.8136,92.032,96.344
96.102,-0.28844,9.8212,91.932,96.321
96.102,-0.28057,9.8288,91.831,96.299
96.102,-0.2727,9.8363,91.726,96.278
96.102,-0.26482,9.8439,91.619,96.258
96.102,-0.25695,9.8514,91.51,96.24
96.102,-0.24908,9.8588,91.397,96.223
96.102,-0.24121,9.8663,91.283,96.207
96.102,-0.23334,9.8737,91.165,96.192
96.102,-0.22547,9.8811,91.044,96.178
96.102,-0.2176,9.8885,90.921,96.166
96.102,-0.20973,9.8959,90.794,96.155
96.102,-0.20186,9.9032,90.665,96.145
96.102,-0.19399,9.9105,90.532,96.137
96.102,-0.18612,9.9178,90.396,96.129
96.102,-0.17824,9.9251,90.257,96.123
96.102,-0.17037,9.9323,90.114,96.118
96.102,-0.1625,9.9396,89.968,96.114
96.102,-0.15463,9.9467,89.818,96.11
96.102,-0.14676,9.9539,89.665,96.108
96.102,-0.13889,9.9611,89.508,96.106
96.102,-0.13102,9.9682,89.347,96.104
96.102,-0.12315,9.9753,89.183,96.103
96.102,-0.11528,9.9824,89.014,96.103
96.102,-0.10741,9.9895,88.841,96.102
96.102,-0.099535,9.9965,88.664,96.102
96.102,-0.091665,10.004,88.483,96.102
96.102,-0.083794,10.011,88.297,96.102
96.102,-0.075923,10.017,88.107,96.102
96.102,-0.068052,10.024,87.912,96.102
96.102,-0.060181,10.031,87.713,96.102
96.223,-0.8394,9.2873,95.455,98.736
96.223,-0.83153,9.2963,95.436,98.708
96.223,-0.82366,9.3053,95.417,98.679
96.223,-0.81579,9.3143,95.397,98.65
96.223,-0.80792,9.3232,95.377,98.62
96.223,-0.80005,9.3322,95.356,98.591
96.223,-0.79217,9.3411,95.335,98.561
96.223,-0.7843,9.35,95.313,98.531
96.223,-0.77643,9.3588,95.29,98.501
96.223,-0.76856,9.3677,95.267,98.47
96.223,-0.76069,9.3765,95.244,98.439
96.223,-0.75282,9.3853,95.22,98.408
96.223,-0.74495,9.3941,95.195,98.377
96.223,-0.73708,9.4028,95.17,98.345
96.223,-0.72921,9.4116,95.144,98.313
96.223,-0.72134,9.4203,95.117,98.281
96.223,-0.71347,9.429,95.09,98.249
96.223,-0.70559,9.4376,95.062,98.216
96.223,-0.69772,9.4463,95.034,98.183
96.223,-0.68985,9.4549,95.005,98.15
96.223,-0.68198,9.4635,94.975,98.117
96.223,-0.67411,9.472,94.944,98.083
96.223,-0.66624,9.4806,94.912,98.049
96.223,-0.65837,9.4891,94.88,98.015
96.223,-0.6505,9.4976,94.847,97.981
96.223,-0.64263,9.5061,94.813,97.947
96.223,-0.63476,9.5145,94.779,97.912
96.223,-0.62689,9.523,94.743,97.877
96.223,-0.61901,9.5314,94.707,97.842
96.223,-0.61114,9.5397,94.67,97.807
96.223,-0.60327,9.5481,94.632,97.772
96.223,-0.5954,9.5564,94.593,97.736
96.223,-0.58753,9.5648,94.553,97.701
96.223,-0.57966,9.5731,94.512,97.665
96.223,-0.57179,9.5813,94.47,97.629
96.223,-0.56392,9.5896,94.427,97.593
96.223,-0.55605,9.5978,94.383,97.557
96.223,-0.54818,9.606,94.337,97.521
96.223,-0.54031,9.6142,94.291,97.485
96.223,-0.53243,9.6223,94.244,97.448
96.223,-0.52456,9.6304,94.195,97.412
96.223,-0.51669,9.6386,94.146,97.376
96.223,-0.50882,9.6466,94.095,97.339
96.223,-0.50095,9.6547,94.042,97.303
96.223,-0.49308,9.6627,93.989,97.267
