mu,sigma,xi
104.7469985,11.6120231,-1.607594214
111.6063814,15.27297608,-1.721247086
107.0885465,14.13222577,-1.477348558
109.1057888,14.71269368,-1.801768596
107.1875242,13.96102148,-1.583502345
107.1892106,13.95205938,-1.51430778
106.9564643,13.16485024,-1.121527458
110.4580056,16.88152051,-2.092666053
106.2801114,13.94691075,-2.41205846
106.0065536,13.52884854,-1.073130422
106.2314728,12.0153649,-0.989990207
105.2312802,13.42010834,-1.286220756
106.1645702,12.34310392,-1.045400082
107.0617801,12.65596841,-1.096426832
113.3294254,17.78580849,-2.059211397
105.9807519,13.6404026,-1.254672861
109.7657511,15.49062956,-2.021962882
104.5515593,12.64422813,-1.43637374
106.454615,12.57027913,-1.488074033
108.4287132,15.47816726,-1.387715701
104.6828662,12.25654016,-1.119922623
105.0421694,13.02118401,-2.116953408
105.9397532,11.67195888,-1.224095294
112.9307358,15.73098149,-2.622081614
104.8328837,12.93176726,-1.207155857
104.2130425,12.35164893,-1.087659939
109.6543278,15.48508941,-2.948272207
103.4769485,12.54033468,-0.98575315
101.1366962,11.09811763,-1.220858503
108.3537674,10.15276043,-3.987040145
107.153835,14.59846897,-1.547832549
106.6664321,11.16596547,-1.000746656
106.7070562,13.76682823,-1.140023058
103.1858753,11.77925416,-1.815164804
108.5399428,15.63383642,-2.987008487
106.519568,13.40942951,-1.103160643
117.0910285,20.05257265,-2.939271992
108.0579223,11.8459913,-5.086740228
112.0977626,14.67743913,-3.82193944
110.1007413,14.39139681,-1.951813454
108.255105,12.75463765,-3.134329673
104.5865087,12.84177253,-1.17904709
107.8203651,15.28434809,-1.663871675
112.9062473,14.79878797,-1.95294744
106.6391501,12.65351807,-2.182926486
104.7839592,12.92303723,-1.173910251
111.9195223,16.82535421,-2.349160473
104.4684591,13.43057676,-1.180338198
111.0279301,16.16178167,-1.756441387
104.8514815,12.53156741,-1.08598968
107.1632957,15.95910773,-1.62255177
105.7790817,12.01436609,-0.994093458
107.9841219,15.42687944,-1.560114568
106.1305393,12.79416497,-1.323138596
106.6309407,12.41428166,-1.539484029
105.5536275,11.16867601,-2.138418512
113.5419791,17.34186399,-2.150119229
107.5609116,15.02113222,-1.618384143
106.3929057,14.05000199,-1.43150955
108.2098629,9.924159427,-0.987551737
107.0174077,12.51568772,-1.083270664
111.4032827,14.92648999,-2.520812804
109.4087261,14.65682281,-2.300088041
104.4374587,9.298016284,-2.795346156
106.8186541,13.00265061,-2.222876377
108.8599044,16.2848754,-1.522603465
108.0954442,11.79696847,-1.565289994
106.5163287,12.41820177,-1.304561252
104.7496361,12.35738995,-0.989813594
108.4083751,14.93502341,-1.3550381
108.2384033,14.28266165,-1.905317345
107.0766384,13.12257819,-1.128228517
103.7925291,10.8330275,-1.540294224
105.1550902,12.75659332,-1.234918145
109.6464022,13.60389069,-1.659797551
105.290758,13.37288291,-1.288932
106.9357718,13.29461936,-1.169865356
107.5182535,14.46362378,-1.248609617
107.3836899,13.43080565,-1.173092827
107.0820825,13.04847646,-1.166022851
104.1338424,13.06954738,-1.155894279
112.0552115,14.67024711,-1.819011729
105.6463501,12.99828306,-1.014454715
114.7752671,18.09320563,-2.917464287
107.7009155,13.74756923,-3.372069839
104.5054245,12.34617135,-1.111317674
111.7020808,14.14786116,-1.742220399
104.169361,12.3814479,-1.541284225
106.7375719,13.33256472,-3.121632388
107.1011749,13.54527001,-1.157592749
114.5970815,17.2193889,-2.316434856
107.135009,14.41395358,-2.944920516
103.7602194,12.31748008,-1.074438253
104.3467695,12.95130083,-1.165732299
104.3862351,12.69140004,-0.986765749
104.9127571,13.04311502,-1.125363734
109.1652802,12.81310049,-3.483986119
108.1269076,11.65303546,-1.161760365
104.0614816,11.56444381,-1.020519203
107.7578932,15.02375249,-1.347417357
106.2109494,13.80398177,-2.598400406
108.4902788,11.10547855,-1.339381925
106.9412143,11.68745257,-1.020179946
104.180014,12.34421959,-2.736763793
107.4913724,14.41365332,-1.576309535
101.5742562,11.36659487,-1.169176137
107.4690564,14.03292164,-3.075351048
112.4804588,17.10502518,-2.685491274
105.5539347,11.65148189,-3.636008494
107.461772,13.75429893,-1.496762073
109.9936873,15.7066757,-1.99383292
117.882654,21.48255999,-2.865431567
112.2645017,18.20497336,-1.99916993
109.4673198,15.87536881,-2.682276898
103.8111145,12.67796263,-1.112098725
107.8532068,15.47507524,-1.381646623
104.4737793,12.57747309,-2.053050949
106.3065336,13.43453637,-1.12795022
118.9919647,22.17071236,-3.866859779
108.0130958,16.04878673,-1.725658566
110.0843363,13.07028314,-1.469048831
109.7119287,16.60760497,-3.574794697
110.2769899,15.73852522,-2.113906447
105.0614426,12.7249627,-0.991731804
108.520454,14.21848765,-1.371951856
107.5514647,12.94398157,-1.883182597
109.6155116,7.513640008,-1.659074807
104.9931306,11.45762056,-2.313551889
108.224293,15.53157842,-1.418848815
106.3264287,14.27529953,-1.142465374
109.536288,15.20176773,-1.732757208
106.8957015,11.34318475,-0.991760659
106.1518206,12.32920731,-1.043094585
105.3448996,12.6103349,-1.003861679
105.953881,12.76680245,-1.271466643
105.2896422,11.14879818,-2.380328149
109.3152043,16.3286078,-1.760135452
104.3511722,11.93097493,-1.239174668
107.419878,11.39945822,-1.037092272
108.3570049,11.76006988,-5.57803332
107.9487404,12.94849127,-1.236191398
107.2347954,13.08515088,-1.138698123
104.8760878,13.55940558,-1.251887696
106.1876728,11.31770576,-2.006405306
103.818558,12.21296758,-1.917833294
110.5198301,13.99912775,-1.578526716
104.4107106,13.61705755,-1.122827186
104.3478581,11.74277337,-1.132840134
110.9757155,15.79999751,-1.731925155
104.0188669,12.23432587,-2.138037435
106.0739005,13.61480832,-1.509348683
104.0464671,11.43880793,-1.457549836
110.1384252,12.08411264,-1.408544498
106.7599446,13.71019938,-1.181819105
109.4026203,13.34487591,-1.354327504
105.9402293,13.28938725,-1.397653044
108.6115055,13.33256662,-1.510529069
110.3122585,14.77242757,-1.598074425
108.3007741,12.06775363,-1.546903963
105.6764082,13.09507769,-1.058600926
106.6621065,14.36279245,-1.172979499
106.6860008,13.06274886,-3.617370143
106.3869612,12.69788244,-1.343971423
104.7548543,12.99732605,-2.331791911
108.1334286,12.74557211,-1.192938121
106.4549659,12.84649666,-3.865419541
107.255333,16.08323814,-1.705723293
109.0677062,15.69049618,-1.51100847
104.7382687,12.4325055,-1.801220063
102.2120836,11.57504635,-1.380214871
106.7942,12.87106039,-2.225226333
106.1418581,13.58941264,-1.572281773
104.2275789,13.449927,-1.161689034
110.6460354,13.67198909,-6.038462172
105.4612555,13.50197139,-1.200541406
108.0195097,7.374311436,-1.030728759
107.0847601,14.40205133,-1.208992345
102.7060562,11.7445256,-1.967470675
107.4600506,10.84570893,-4.297258066
103.673701,12.38006482,-0.988706011
106.9743618,12.26266823,-3.338412796
109.6863601,15.30792645,-3.336058863
106.9658592,15.16688382,-2.592568808
105.8960809,9.412195817,-1.00604696
105.0745297,12.97903297,-1.388685135
105.9110418,13.39257928,-1.095074742
106.8044902,12.77148272,-1.124386095
108.0123501,13.34605611,-1.984070294
107.4389902,13.00580889,-1.150309872
105.2148133,12.99738601,-0.985113573
109.8948275,16.7200113,-2.019377403
104.8666284,12.55725589,-3.354186387
107.757708,12.48118593,-3.212473343
109.3938929,8.094931184,-2.406875641
105.4328839,13.24984196,-1.976183359
106.3869484,12.78638463,-1.053179968
101.4828111,11.2999789,-1.180166275
104.4130016,12.57859747,-1.766875165
106.135676,14.19815893,-1.161838212
107.5622154,14.27757078,-3.075077326
107.7731971,15.54119525,-1.33281143
116.2910088,19.23792992,-2.778054305
105.3005289,11.79238806,-3.528757198
104.9226516,12.78068182,-1.108749803
107.7075495,13.99716067,-1.281579498
106.2731814,13.89319741,-1.154160782
105.1164974,13.20338833,-1.918015454
106.4328791,13.27013733,-1.088087013
106.3284088,13.91117099,-1.159198048
107.57289,13.73534815,-1.560100149
109.5766818,14.31953736,-1.488009195
107.4133458,13.5026239,-2.852530043
109.0701592,13.47531702,-1.575979481
106.6491852,14.55406635,-1.692664607
106.7401249,14.02959678,-2.25717243
105.9538075,13.45619532,-1.240800791
110.1334585,16.16163043,-4.170607663
112.8054002,17.75086609,-2.055853743
103.2800239,12.14889877,-1.126895776
107.8953124,12.47935187,-1.72625244
107.1818356,15.71484619,-2.730923469
108.8071418,12.97200938,-1.321739561
106.833236,13.52751984,-1.135153163
107.0181502,12.33351917,-1.16740143
109.3289836,14.5850647,-3.54996431
115.0217484,17.60915903,-2.312770621
107.4329989,12.59541946,-2.345817812
107.9738792,15.15415666,-2.058970579
104.8954656,12.79553536,-0.984798615
109.5234903,13.49505997,-1.798146338
103.7441561,11.90663222,-1.886279539
107.6282276,14.34900465,-1.661866807
109.3672403,13.95837967,-1.443323933
104.5710841,12.89996326,-2.020083175
107.4784372,14.00168209,-1.320016732
107.9840526,14.06620658,-1.311352427
104.805632,12.52455242,-1.230380237
107.8889331,13.46403025,-1.644499236
106.6207982,12.56699493,-1.095898907
104.7539741,12.96309037,-1.173787458
108.5010321,15.78069825,-1.636528157
112.8155678,15.54467096,-1.972104909
106.8322524,13.79283351,-1.151176227
106.2404402,13.6071754,-1.094941185
106.7649936,13.24518458,-1.152579411
109.8072822,15.94079728,-2.046771497
108.18579,15.35792248,-1.726422511
115.6216381,17.56804219,-3.15674471
105.048505,12.85477021,-2.193084336
103.323293,11.07909068,-1.3375239
107.8019434,12.57344442,-2.980060221
105.4653307,13.56696463,-4.034704988
112.2996606,18.06904676,-2.000166267
104.6383556,12.46228937,-2.010921058
106.3249764,10.69885757,-2.311919359
106.0442392,12.58332403,-1.015429036
106.606196,13.96863462,-1.415390057
110.0984007,15.39604736,-1.996252707
105.2499455,12.79785579,-0.97451926
104.6560151,13.48608781,-0.979687026
110.8161837,15.45596853,-2.376656157
108.4307291,14.22266771,-4.222649902
107.0625474,12.46440675,-1.083370309
105.4090017,12.46134862,-0.998403571
100.7878992,11.79885805,-1.895454526
105.7198188,13.040032,-1.022017905
108.2743738,15.74714936,-1.704017905
101.7839977,11.41721611,-1.324640766
106.2978364,12.61053119,-1.92738105
106.7590434,13.73667721,-1.182799288
106.7078851,12.80483351,-1.386102541
103.7376102,12.65439045,-1.659176244
106.3152482,12.13866486,-1.042732819
106.4173829,13.41974687,-1.135851158
105.3730357,13.05078134,-2.377178724
111.3169543,18.48845772,-2.751845285
116.2964559,19.35300253,-3.599858577
107.6758552,14.12827523,-5.048209007
105.162222,12.67718575,-1.898089352
110.8343129,16.68130706,-1.757238959
109.9726867,8.305345096,-10.31688116
104.0052719,12.64115787,-1.091051252
112.3174671,18.82064331,-2.461421304
105.0073144,13.05960314,-2.39260224
107.5460733,12.91104642,-1.361691182
105.8578589,12.02939053,-1.000528169
105.1167628,13.19180689,-1.907461822
105.9295369,12.21334803,-2.358265446
108.3180241,12.00018262,-1.205363435
107.5708977,13.96252775,-1.521735169
113.5941553,2.774539357,-2.019605628
105.5449044,13.01679646,-1.008448492
106.4642872,13.90975717,-1.442779135
104.6302698,11.29602285,-1.189664654
105.9013612,14.50791213,-1.376072376
108.1583641,14.21737057,-1.336993365
107.2557607,12.02310938,-1.269218932
106.8656566,11.83465542,-1.554131828
107.5658058,13.55787975,-1.534997554
108.3853561,14.71104752,-1.663366181
107.4741806,13.32809496,-1.671490838
106.6302077,13.83008596,-1.178751724
109.4755439,8.636219379,-0.990265193
105.1991017,13.80878413,-1.034554382
104.198083,12.5780406,-1.039596168
106.38351,11.20770184,-1.859285792
110.3668304,7.634681328,-4.636665743
108.0909647,16.21441226,-1.743145637
106.8061052,12.8494748,-1.400370059
105.9975086,12.85551924,-1.487722605
107.0870464,14.01512019,-3.081366409
106.7758128,13.49002388,-1.587786291
106.6900583,14.27305488,-1.210278219
109.253683,16.36370286,-1.513943828
112.1010982,19.2975386,-2.512908284
105.9289031,13.20446241,-1.047468776
109.6134056,13.84234063,-1.46357294
105.7828562,13.27123804,-1.077636831
105.9468179,12.64216767,-2.376748316
106.9764923,13.43757231,-1.238046748
105.8502887,13.91714191,-1.085521692
106.0349045,13.46894059,-1.071466768
113.7052743,4.242378749,-2.261588792
110.4712783,15.07397228,-2.042349736
107.0278262,13.42946918,-1.185949448
116.3558982,21.66388946,-2.687906443
103.9308728,11.88449954,-1.475189295
109.199173,13.09695206,-1.372207413
106.9650631,12.25306997,-1.061256084
108.3034137,14.53800022,-1.369329757
106.6568066,14.47801962,-2.256405398
105.8648582,13.37985767,-1.053689234
104.5085537,13.44351854,-1.328380435
111.1437228,15.53218004,-1.739580096
106.5537341,11.88219993,-1.884630124
108.1057557,12.18475063,-3.092793286
106.2853202,12.44700167,-1.203510246
108.5138053,11.03742125,-1.104036499
105.734029,13.54541332,-1.5003597
105.8046049,12.24920895,-3.211714429
109.8113114,15.26195826,-2.129685709
107.6047273,14.16537964,-1.282627868
104.2685673,11.7478189,-2.152574003
105.0803343,12.06265946,-1.689268619
112.1206804,15.21178532,-1.784853047
103.6070923,12.31170087,-0.979476875
111.2161707,15.64392988,-1.75503286
103.6036315,10.93799099,-2.522557358
106.5405765,12.53791013,-1.048017187
104.1119059,12.14300585,-1.246353375
103.3096016,11.91704426,-1.012301471
105.9944196,13.45929939,-1.067545725
110.1318074,16.85673681,-3.830344264
108.4142818,13.95865485,-1.346819383
106.9793006,11.68385559,-1.495096328
104.6484691,13.41804942,-1.275209239
104.7711386,13.14673992,-1.187623348
110.1495183,14.75477779,-1.976538787
110.8607846,17.74092306,-2.133971061
106.7406472,13.63587567,-1.134673409
105.0018344,12.27725862,-2.203932911
104.8618222,13.40308726,-2.946218891
105.3863066,13.81530446,-1.04778914
103.957939,12.0635245,-1.97553791
109.6607921,15.54029621,-3.779674124
104.3862071,13.06914756,-1.177024212
108.1558278,13.8790217,-1.315951104
107.1171626,13.85186861,-1.178225607
105.7627399,12.43628018,-1.824041376
103.8479051,11.43904916,-0.994932732
104.6696709,12.32573979,-1.792825993
99.02111355,9.940133386,-1.456858701
104.1459839,12.2639954,-1.530072001
107.0814564,14.16384167,-3.076737604
106.1529597,13.63334246,-1.090378444
